Car-Type,Gates,Gate-Name,Year of Timestamp,Month of Timestamp,Weekday of Timestamp,Hour of Timestamp,Count of Car-Id
1,Camps,camping0,2015,May,Sunday,16,3
1,Camps,camping0,2015,May,Sunday,13,1
1,Camps,camping0,2015,May,Sunday,11,1
1,Camps,camping0,2015,May,Sunday,10,1
1,Camps,camping0,2015,May,Sunday,8,1
1,Camps,camping0,2015,May,Monday,21,1
1,Camps,camping0,2015,May,Monday,13,2
1,Camps,camping0,2015,May,Tuesday,17,2
1,Camps,camping0,2015,May,Tuesday,16,1
1,Camps,camping0,2015,May,Tuesday,13,1
1,Camps,camping0,2015,May,Tuesday,7,1
1,Camps,camping0,2015,May,Wednesday,18,1
1,Camps,camping0,2015,May,Wednesday,11,1
1,Camps,camping0,2015,May,Thursday,11,1
1,Camps,camping0,2015,May,Thursday,9,1
1,Camps,camping0,2015,May,Thursday,7,1
1,Camps,camping0,2015,May,Friday,9,2
1,Camps,camping0,2015,May,Friday,7,1
1,Camps,camping0,2015,May,Friday,6,1
1,Camps,camping0,2015,May,Saturday,16,2
1,Camps,camping0,2015,May,Saturday,13,2
1,Camps,camping0,2015,May,Saturday,9,1
1,Camps,camping0,2015,May,Saturday,7,1
1,Camps,camping0,2015,June,Sunday,22,1
1,Camps,camping0,2015,June,Sunday,19,1
1,Camps,camping0,2015,June,Sunday,16,1
1,Camps,camping0,2015,June,Sunday,15,2
1,Camps,camping0,2015,June,Sunday,14,2
1,Camps,camping0,2015,June,Sunday,13,3
1,Camps,camping0,2015,June,Sunday,12,1
1,Camps,camping0,2015,June,Sunday,11,1
1,Camps,camping0,2015,June,Sunday,10,1
1,Camps,camping0,2015,June,Sunday,9,2
1,Camps,camping0,2015,June,Sunday,8,1
1,Camps,camping0,2015,June,Sunday,6,2
1,Camps,camping0,2015,June,Monday,22,1
1,Camps,camping0,2015,June,Monday,21,1
1,Camps,camping0,2015,June,Monday,18,2
1,Camps,camping0,2015,June,Monday,15,3
1,Camps,camping0,2015,June,Monday,14,1
1,Camps,camping0,2015,June,Monday,13,1
1,Camps,camping0,2015,June,Monday,11,2
1,Camps,camping0,2015,June,Monday,10,1
1,Camps,camping0,2015,June,Monday,9,2
1,Camps,camping0,2015,June,Monday,8,2
1,Camps,camping0,2015,June,Monday,7,4
1,Camps,camping0,2015,June,Tuesday,21,1
1,Camps,camping0,2015,June,Tuesday,19,2
1,Camps,camping0,2015,June,Tuesday,18,4
